Character,Best_Country,Best_Score
'Baby' Louise,United States of America,0.0021717746276408
ACP Jai Dixit,India,0.5075727701187134
Abigail Chase,United States of America,0.0103471791371703
Abraham Lincoln,United States of America,0.1097449883818626
Abraham Van Helsing,United Kingdom,0.3296918272972107
Ace Ventura,United States of America,0.0107414750382304
Adolf Hitler,Germany,0.8125966191291809
Adrian Pennino,United States of America,0.034901212900877
Agent Augustus Eugene Gibbons,United States of America,0.1300873905420303
Agent Smith,United States of America,0.7630615234375
Aggie Cromwell,United States of America,0.0081530725583434
Aidan Keller,United States of America,0.7556312084197998
Ajay Kapoor,India,0.1345693618059158
Ajay Sharma,India,0.3810842037200928
Alan Garner,United States of America,0.794971764087677
Alan Grant,United States of America,0.1130209267139434
Albert Brooks,United States of America,0.0604761354625225
Albert Wesker,Germany,0.3766569197177887
Aldous Snow,United States of America,0.0314305610954761
Alex Tanner,United States of America,0.1239715591073036
Alex West,United States of America,0.4834842383861542
Alfred Pennyworth,United Kingdom,0.6642014384269714
Alice Johnson,United States of America,0.0069048446603119
Allan Quatermain,United Kingdom,0.324187308549881
Alvin Seville,United States of America,0.0115731749683618
Aman Mehra,India,0.5439428091049194
Amanda Krueger,United States of America,0.0204506590962409
Amanda Young,United States of America,0.3524615466594696
Amelia Earhart,United States of America,0.6624927520751953
Amy Fisher,United States of America,0.1558568775653839
Amy Peterson,United States of America,0.1491859704256057
Amy Sumner,United States of America,0.6298074722290039
Anakin Skywalker,United States of America,0.000267602445092
Anastasia Tremaine,United States of America,0.0010671494528651
André Matias,Brazil,0.6209986805915833
Andy Hardy,United States of America,0.0689834058284759
Andy Warhol,United States of America,0.5119960904121399
Angela Baker,United States of America,0.0249186661094427
Ann Darrow,United States of America,0.6301869750022888
Anna Karenina,United Kingdom,0.5987138748168945
Anna Morgan,United States of America,0.7346531748771667
Anne Boleyn,United Kingdom,0.7546445727348328
Anne Elliot,United Kingdom,0.4052870273590088
Anne Frank,Netherlands,0.3822043240070343
Anne Shirley,United Kingdom,0.3708104789257049
Annie Porter,United States of America,0.0126732178032398
Antoine Doinel,France,0.8913280963897705
Apollo Creed,United States of America,0.0015551354736089
Apostle Peter,United States of America,0.0003000807482749
Apple Annie,United States of America,0.0016668841708451
Ardeth Bay,United States of America,0.000207628661883
Arjun Singh,India,0.4813447594642639
Armand Duval,United States of America,0.0067310552112758
Arthur Bach,United States of America,0.0047341035678982
Arun Chatterjee,India,0.5133983492851257
