Character,Best_Country,Best_Score
Arun Choudhury,India,0.2768821716308594
Arun Verma,India,0.4521934688091278
Ash Williams,United States of America,0.0275145024061203
Audrey Bennett,United States of America,0.6710134148597717
Aunt Bea,United States of America,0.0006773223285563
Austin Powers,United States of America,0.7362211346626282
Axel Foley,United States of America,0.0317666605114936
Babe Bennett,United States of America,0.0094693191349506
Barbara Gordon,United Kingdom,0.5946963429450989
Barney Ross,United States of America,0.6940468549728394
Barney Rubble,United States of America,0.0005390135920606
Barnyard Dawg,United States of America,0.0006624679081141
Baron Frankenstein,United Kingdom,0.7934786677360535
Bastian Balthazar Bux,Germany,0.4987696409225464
Becky Thatcher,United Kingdom,0.9032599329948424
Bella Swan,United States of America,0.0003566348168533
Bellatrix Lestrange,United Kingdom,0.6844790577888489
Ben Carson,United States of America,0.7798450589179993
Ben Cooper,United States of America,0.0954589694738388
Ben Marco,United States of America,0.0167171731591224
Ben Parker,United States of America,0.0888085588812828
Bernard the Arch-elf,United States of America,0.0003409400815144
Bernie Focker,United States of America,0.0423931740224361
Betty Boop,United States of America,0.0005417331121861
Betty Ross Banner,United States of America,0.0019856772851198
Betty Rubble,United States of America,0.000729874940589
Bharat Bhushan,India,0.6820608973503113
Bhavani Shankar,India,0.2646568417549133
Biff Tannen,United States of America,0.0149972680956125
Big Bad Wolf,United States of America,0.000496398715768
Big Daddy,United States of America,0.3211269378662109
Big Momma,United States of America,0.0096761984750628
Bilbo Baggins,United States of America,0.5881888270378113
Bill Holt,United States of America,0.1134546473622322
Bill Sikes,United States of America,0.3363294303417206
Billy Fish,United Kingdom,0.5176923871040344
Billy Jack,United States of America,0.0062362463213503
Billy Nolan,United States of America,0.5987856388092041
Billy the Kid,United States of America,0.0007764761103317
Blanche Hudson,United States of America,0.0132478764280676
Bo Duke,United States of America,0.646019697189331
Boba Fett,United States of America,0.0005214617121964
Bobby Ewing,United States of America,0.0080718053504824
Bobby Ray,United States of America,0.0045698671601712
Boris the Goose,United States of America,0.0002685718354769
Brad Majors,United States of America,0.6529346704483032
Brian Kelly,United States of America,0.1193720251321792
Brian O'Conner,United States of America,0.7951492667198181
Bridget Jones,United Kingdom,0.5382261872291565
Bryan Mills,United States of America,0.4663205146789551
Bugs Bunny,United States of America,0.000348426081473
Buzz Lightyear,United States of America,0.0027267716359347
Cadet Carey Mahoney,United States of America,0.0461506657302379
Calvin Palmer,United States of America,0.0287915654480457
Cameron Mitchell,Canada,0.6029496788978577
Camryn Barnes,United States of America,0.0658920779824256
Capt. Thaddeus Harris,United States of America,0.0840733274817466
Captain America,United States of America,0.9836823344230652
Captain Englehorn,United States of America,0.4340388178825378
Captain Haddock,United States of America,0.2696464657783508
Captain Hook,United Kingdom,0.5039087533950806
Captain Jack Sparrow,United States of America,0.0012046709889546
Captain January,United States of America,0.125283658504486
Captain Nascimento,Brazil,0.4960495233535766
Captain Nemo,United Kingdom,0.3917552828788757
Cardinal Richelieu,France,0.6896675229072571
Carl Denham,United States of America,0.506499171257019
Carl Kolchak,United States of America,0.0116505427286028
Carlito Brigante,United States of America,0.000609625945799
Carlos Olivera,United States of America,0.2568162977695465
Carmen Cortez,United States of America,0.004883652087301
Carol Anne Freeling,United States of America,0.0146121755242347
Carol Brady,United States of America,0.0396843403577804
Carol McCoy,United States of America,0.7270549535751343
Carrie Bradshaw,United States of America,0.0037708536256104
Carrie White,Canada,0.6561433672904968
Caspian X,Czech Republic,0.2228822708129882
Catherine Tramell,France,0.4585296809673309
Celia Gray,United Kingdom,0.4942649304866791
Chad Danforth,United States of America,0.0512664206326007
Charley Brewster,United States of America,0.0535354651510715
Charlie B. Barkin,United States of America,0.5148769021034241
Charlie Brown,United States of America,0.0004465624224394
Charlie Bucket,United Kingdom,0.5488913059234619
Charlie Calvin,United States of America,0.0354957655072212
Charlie Chan,United States of America,0.0035794684663414
Charlie Chaplin,United Kingdom,0.2982825636863708
Charlie Conway,United States of America,0.0408471971750259
Charlie Croker,United Kingdom,0.4196909070014953
Charlie Dog,United States of America,0.002829699544236
Charlie Frost,United States of America,0.0639056786894798
Charlie McGee,United States of America,0.0446419715881347
Charlotte York,United States of America,0.0005046619335189
Chief Inspector Lee,Hong Kong,0.5812532305717468
Childlike Empress,West Germany,0.4540485739707947
Chili Palmer,United States of America,0.0015242971712723
Chon Wang,Hong Kong,0.6527959704399109
Chow Mo-wan,China,0.6611045598983765
Chris Hargensen,United States of America,0.6200313568115234
Christine Daaé,United Kingdom,0.2924924492835998
Christopher Robin,United States of America,0.0010242158314213
Chuck Sherman,United States of America,0.1040495708584785
Cindy Campbell,Canada,0.7026034593582153
Clarice Starling,United Kingdom,0.5399285554885864
Clark Davis,United States of America,0.0950357764959335
Clark Griswold,United States of America,0.035246554762125
Clark Kent,United States of America,0.5456405878067017
Claude Cat,United States of America,0.0015862374566495
Clear Rivers,United States of America,0.5075157284736633
Cliff Brumby,United Kingdom,0.5079142451286316
Cobra Bubbles,United States of America,0.005522112827748
Colonel Sam Trautman,United States of America,0.02066589333117
Commissioner Dreyfus,United States of America,0.6331270337104797
Conan Edogawa,Japan,0.1762500256299972
Conan the Barbarian,United States of America,0.6242871880531311
Connie Corleone,United States of America,0.0008975680102594
Connor MacLeod,Canada,0.4504908919334411
Cora Jean Simmons Brown,United States of America,0.0070473747327923
Cornelius Hackl,United States of America,0.0036536557599902
Count Dooku,United States of America,0.0001148506344179
Count Dracula,Romania,0.8376753926277161
Cruella de Vil,France,0.6073690056800842
Crystal Allen,United States of America,0.0585224106907844
Cutler Beckett,United States of America,0.0013296803226694
Cyrano de Bergerac,France,0.9042741656303406
Daffy Duck,United States of America,0.0002027037553489
Daisy Duke,United States of America,0.5671327114105225
Dale Arden,United States of America,0.5017846822738647
Damien Thorn,United Kingdom,0.5654027462005615
Dan Cain,United States of America,0.0615483708679676
Dan Erickson,United States of America,0.4567789137363434
Dan Jordan,United States of America,0.1182868629693985
Dana Barrett,United States of America,0.0189818739891052
Dana Scully,United States of America,0.5762102007865906
Daniel Cleaver,United States of America,0.3583325147628784
Daniel Jackson,United States of America,0.5229505300521851
Daniel Larusso,United States of America,0.7202664017677307
Danny Ocean,United States of America,0.0033319934736937
Dante Hicks,United States of America,0.0108474642038345
Daphne Blake,Canada,0.3872717320919037
Dark Witch,Italy,0.1280536502599716
Darth Vader,United States of America,0.0001917749759741
Dave Robicheaux,United States of America,0.6038258075714111
Dave the Dude,United States of America,0.0052788616158068
David Bowman,United Kingdom,0.539816677570343
David King,United States of America,0.1080228313803672
David Martin,United States of America,0.1265705823898315
David Sumner,United States of America,0.5042649507522583
Davy Crockett,United States of America,0.0026311052497476
Davy Jones,United States of America,0.0056906621903181
Dean Richmond,United States of America,0.124866135418415
Debbie Strand,United States of America,0.5825669169425964
Deepak Kumar,India,0.8156232833862305
Deloris Van Cartier / Sister Mary Clarence,United States of America,0.0003720044915098
Detective Eric Matthews,United States of America,0.6693405508995056
Detective James Carter,United States of America,0.5090069770812988
Deuce Bigalow,United States of America,0.0030013790819793
Dev Prakash Subramaniam,India,0.3889859914779663
Dexter Riley,United States of America,0.0347661301493644
Doc Holliday,United States of America,0.0084106465801596
Doc McCoy,United States of America,0.793312132358551
Doctor Doom,United States of America,0.6436206102371216
Doctor Moreau,United States of America,0.0012427557958289
Doctor Watson,United Kingdom,0.5619711875915527
Dominic Toretto,United States of America,0.6867703795433044
Don Diego de la Vega,United States of America,0.671034038066864
Don Giovanni,Italy,0.6803715825080872
Donald Duck,United States of America,0.0009198957704938
Dorian Gray,United Kingdom,0.3862824738025665
Dorinda Durston,United States of America,0.0196721274405717
Dorothy Carlsson,United Kingdom,0.5367586016654968
Dorothy Gale,United Kingdom,0.5256259441375732
Douglas Quaid,United States of America,0.0339023284614086
Dr. Anand,India,0.418777197599411
Dr. Anton Phibes,United Kingdom,0.1100562885403633
Dr. Henry Clerval,United Kingdom,0.4500333964824676
Dr. Henry Jekyll,United Kingdom,0.4556401371955871
Dr. Jennings,United States of America,0.4654619097709656
Dr. John Dolittle,United States of America,0.0218033082783222
Dr. Jonas Carson,United States of America,0.1002583280205726
Dr. Laura Baker,United States of America,0.1733829081058502
Dr. Samantha Hill,United States of America,0.1467681974172592
Dr. Vijay,India,0.3300752639770508
Dr. Zaius,United States of America,0.0116085782647132
Dracula's Bride,United Kingdom,0.6153200268745422
Drake Parker,United States of America,0.0141105493530631
Dwight Stifler,United States of America,0.5969361066818237
Dylan Piper,United States of America,0.0283006820827722
Dylan Sanders,United States of America,0.7744320034980774
Earl of Essex,United Kingdom,0.979433000087738
Ebenezer Scrooge,United Kingdom,0.586700975894928
Eddie Felson,United States of America,0.0428066290915012
Eddie Johnson,United States of America,0.0158648658543825
Eden Sinclair,United Kingdom,0.6640187501907349
Edgar Allan Poe,United States of America,0.0010941756190732
Edgar Frog,Canada,0.3506419360637665
Edmund Pevensie,United Kingdom,0.5314936637878418
Edward Cullen,United States of America,0.0174902882426977
Edward Rochester,United States of America,0.5730948448181152
El Chivo,Mexico,0.9472866058349608
El Mariachi,United States of America,0.0004086855333298
Eleanor 'Nell' Lance,United Kingdom,0.5749000310897827
Elektra Natchios,Canada,0.5164459347724915
Elena Morales,United States of America,0.3225021958351135
Eliza Thornberry,United States of America,0.0159051977097988
Elizabeth Frankenstein,United States of America,0.0007331469096243
Elizabeth Swann,United States of America,0.0082189980894327
Elle Woods,United States of America,0.0066560180857777
Ellen Brody,United States of America,0.0216181427240371
Ellen Carlsson,United States of America,0.5205335021018982
Ellen Griswold,United States of America,0.01392781175673
Ellen Ripley,United States of America,0.5800754427909851
Ellen Wagstaff Arden,United States of America,0.0038295292761176
Ellie Sattler,United States of America,0.024860993027687
Elmer Fudd,United States of America,0.0008115756791085
Elwood Blues,United States of America,0.0026254823897033
Emily Newton,United States of America,0.0853352174162864
Emily Rose,United States of America,0.0071868025697767
Emmett Richmond,United States of America,0.0291833542287349
Emperor Nero,United States of America,5.313882866175845e-05
Eric Lassard,United States of America,0.0607249550521373
Ernst Stavro Blofeld,United Kingdom,0.0005909059545956
Estella Havisham,United Kingdom,0.2613065242767334
Esther Blodgett,United States of America,0.0023683831095695
Ethan Dalloway,United States of America,0.0028786407783627
Ethan Hunt,United States of America,0.5288283824920654
Evan Baxter,United States of America,0.0796836540102958
Fa Mulan,United States of America,0.0002549403579905
Fairy Godmother,United States of America,0.0002397319185547
Father Brennan,United Kingdom,0.5112865567207336
Father Uffizi,Romania,0.7050690650939941
Felix Leiter,Germany,0.3382390439510345
Felix Unger,United States of America,0.0125594465062022
Fievel Mousekewitz,United States of America,0.0003807834873441
Flash Gordon,United Kingdom,0.5214217305183411
Fletcher Christian Master's Mate,United States of America,0.0003734238853212
Flynn Carsen,United States of America,0.0450664274394512
Foghorn Leghorn,United States of America,0.0007532335002906
Fox Mulder,United States of America,0.7293964624404907
Frank Chambers,United States of America,0.7069178223609924
Frank James,United States of America,0.0575070865452289
Frank Jones,United States of America,0.5367617607116699
Frank Martin,United States of America,0.6326037049293518
Frank Towns,United States of America,0.0337647534906864
Frankenstein's monster,Czech Republic,0.6192675828933716
Franz Liszt,Hungary,0.8661072254180908
François Pignon,France,0.9640487432479858
Fred Flintstone,United States of America,0.0006479080184362
Freddy Krueger,United States of America,0.4695183038711548
Freddy Lounds,United States of America,0.7050947546958923
Frederic Chopin,Poland,0.3863765597343445
Frodo Baggins,United States of America,0.5807782411575317
Gabbar Singh,India,0.2511329650878906
Gabriel Martin,Germany,0.542761504650116
Gabriel Van Helsing,United States of America,0.5233744382858276
Gabriella Montez,United States of America,0.0056872605346143
Gale Weathers,United States of America,0.0040187542326748
Gang Member,United Kingdom,0.4420508146286011
Garth Algar,United States of America,0.0085522178560495
Gary Winston,United States of America,0.7735612392425537
Gen. Robert E. Lee,United States of America,0.0003691862511914
General Zod,United Kingdom,0.5116447806358337
Genji Takiya,Japan,0.7834874391555786
George Banks,United States of America,0.0219903215765953
George Logan,United States of America,0.590531051158905
George Lutz,United States of America,0.0189631264656782
George Lytton,United Kingdom,0.6574414372444153
George McFly,United States of America,0.0016200069803744
George Milton,United States of America,0.0448842458426952
George Newton,United States of America,0.0651430636644363
George Taylor,United States of America,0.066829539835453
George W. Bush,United States of America,0.1039632186293602
Gilbert Blythe,United Kingdom,0.3727544248104095
Ginger Fitzgerald,Canada,0.536567747592926
Ginny Weasley,United Kingdom,0.8498379588127136
Gloria Sullivan,United States of America,0.7362043857574463
Gordon Bombay,United States of America,0.0085161980241537
Grand Duke,United Kingdom,0.5268895626068115
Grandpa Joe,United States of America,0.4967363178730011
Greg Heffley,United States of America,0.5834993720054626
Hal Jordan,United States of America,0.0088372314348816
Han Lue,Germany,0.6556962728500366
Han Solo,United States of America,0.0003208067209925
Hannibal Lecter,United Kingdom,0.2636288702487945
Hans Zarkov,United States of America,0.5143712162971497
Harold Hill,United States of America,0.0146458623930811
Harold Lee,United States of America,0.4641095399856567
Harrison Bergeron,United States of America,0.5830175876617432
Harry Callahan,United States of America,0.0358704850077629
Harry Houdini,United Kingdom,0.6270495653152466
Harry Lime,United Kingdom,0.5973665714263916
Harry Morgan,United Kingdom,0.6681444048881531
Harry Osborn,United States of America,0.0313631743192672
Harry Palmer,United Kingdom,0.7331204414367676
Harry Potter,United Kingdom,0.7558673024177551
Hector Barbossa,United States of America,0.0029378503095358
Heihachi Mishima,Japan,0.9722213745117188
Helen Benson,United States of America,0.6175695061683655
Helen Hudson,United States of America,0.0188149604946374
Helen Sharp,United States of America,0.0188264157623052
Henery Hawk,United States of America,0.0008309275144711
Henry Bergner,United States of America,0.0127050392329692
Henry Frankenstein,United States of America,0.0017922348342835
Henry II of England,United Kingdom,0.9956621527671814
Henry Roth,United States of America,0.0113894846290349
Henry VIII of England,United Kingdom,0.9923239946365356
Herbert West,United States of America,0.7553045153617859
Hercule Poirot,United Kingdom,0.6749775409698486
Hermione Granger,United Kingdom,0.499674379825592
High Priest Imhotep,United States of America,0.000129538893816
Hildegarde Withers,United States of America,0.0012897178530693
Holly Gennaro McClane,United States of America,0.0138023644685745
Holly Hills,United States of America,0.5849610567092896
Homeless Man,United Kingdom,0.6612887382507324
Horatio Hornblower,United States of America,0.5537503361701965
Howard Hughes,United States of America,0.5701681971549988
Huckleberry Finn,United States of America,0.0006253745523281
Ian Hawke,United States of America,0.04974065721035
Ice Princess,United Kingdom,0.746153712272644
Ichigo Kurosaki,Japan,0.933729887008667
Indiana Jones,United States of America,0.0008585039176978
Inspector Clouseau,France,0.4327283501625061
Inspector Lestrade,United States of America,0.0031810845248401
Inspector Megure,Japan,0.3680745363235473
Inspector Oscar Piper,United States of America,0.0403247773647308
Irene Adler,Germany,0.4140684008598327
Iron Man,United States of America,0.0048656002618372
Isaac Chroner,United States of America,0.0143104139715433
Itchy Itchiford,United Kingdom,0.4180053174495697
Jack Byrnes,United States of America,0.0730781853199005
Jack Carter,United States of America,0.6053704023361206
Jack Cates,United States of America,0.0972254797816276
Jack Crawford,United States of America,0.8200919032096863
Jack Foley,United States of America,0.5343238115310669
Jack Frost,United States of America,0.0091543076559901
Jack Powell,United States of America,0.1341086477041244
Jack Ryan,United States of America,0.8000649213790894
Jack Shepard,United States of America,0.1218579113483429
Jack Walsh,United States of America,0.12246404588222504
Jackie Robinson,United States of America,0.008571729063987732
Jacob Black,United States of America,0.0670829489827156
Jai Kumar,India,0.8178096413612366
"Jake ""the Muss"" Heke",New Zealand,0.5557495355606079
Jake Taylor,United States of America,0.8205540180206299
James Bond,United Kingdom,0.3852180540561676
James Roberts,United States of America,0.1448325663805008
James St. James,United States of America,0.7253007888793945
James T. Kirk,United States of America,0.8410613536834717
James Ubriacco,United States of America,0.048580676317214966
Jamie Lloyd,United States of America,0.14612382650375366
Jane Eyre,United Kingdom,0.6805524230003357
Jane Porter,United States of America,0.08435330539941788
Jane Spencer Drebin,United States of America,0.020871635526418686
Janet Weiss,United States of America,0.6052029132843018
Jason Bourne,United States of America,0.48254039883613586
Jason Taylor,United States of America,0.19931749999523163
Jason Voorhees,United States of America,0.4738674759864807
Jean Valjean,France,0.8791288137435913
Jean-Luc Picard,United States of America,0.004554721061140299
Jennifer Parker,United States of America,0.14914754033088684
Jerry Robinson,United States of America,0.7936869263648987
Jesse Huston,United States of America,0.7971851825714111
Jesse James,United States of America,0.6976966857910156
Jesse Stone,United States of America,0.03249805048108101
Jessie Thekekuttu,India,0.07214464992284775
Jill McBain,United States of America,0.7821738719940186
Jill Tuck-Kramer,United States of America,0.3268938958644867
Jill Valentine,United Kingdom,0.2680853605270386
Jim Hawkins,United States of America,0.6031637191772461
Jim Levenstein,United States of America,0.8035873174667358
Jimmy 'The Tulip' Tudeski,United States of America,0.6326202154159546
Jimmy Lee,United States of America,0.016460025683045387
Jo March,United States of America,0.030780769884586334
Joan Wilder,United States of America,0.43089643120765686
Joanna Eberhart,United States of America,0.07319232076406479
Jobe Smith,United States of America,0.4221717119216919
Joe Carraclough,Ireland,0.3047142028808594
Joe Collins,United States of America,0.11057037115097046
Joe Miller,United States of America,0.127775177359581
Joe Pendleton,United States of America,0.05725611001253128
Joe Taylor,United States of America,0.46805062890052795
Joel Cairo,United States of America,0.002718135481700301
John Clark,United States of America,0.7979876399040222
John Connor,United Kingdom,0.3560849130153656
John Cutter,United States of America,0.5822857022285461
John Doe,United States of America,0.0005932708736509085
John F. Kennedy,United States of America,0.01910737156867981
John Hammond,United States of America,0.08942161500453949
John Hatcher,United States of America,0.42946669459342957
John Henry Brennick,United States of America,0.4738689363002777
John Kane,United Kingdom,0.9336444139480591
John Kreese,United States of America,0.7788493037223816
John McClane,United States of America,0.07996773719787598
John Morgan,United States of America,0.13435161113739014
John Preston,United Kingdom,0.541893482208252
John Rambo,United States of America,0.7548453211784363
John Reed,United States of America,0.6198157072067261
John Rolfe,United States of America,0.5254930257797241
John Ryder,United States of America,0.09198275208473206
John Seward,United States of America,0.4962613880634308
John Smith,United States of America,0.5118279457092285
John Wayne Gacy,United States of America,0.6402552723884583
Jon Arbuckle,United States of America,0.5502665042877197
Jonah Hex,United States of America,0.005075800698250532
Jonathan Carnahan,United States of America,0.6874735951423645
Jonathan Corliss,United Kingdom,0.5112660527229309
Jonathan Harker,United Kingdom,0.3663036823272705
Josef Stalin,Soviet Union,0.9909950494766235
Joseph Fernandez,India,0.015151764266192913
Josh Framm,United States of America,0.6188005208969116
Josh Nichols,United States of America,0.1652468889951706
Juan Gallardo,United States of America,0.008029432035982609
Juan Rico,United States of America,0.0002873239282052964
Judas Iscariot,United States of America,0.00011070113396272063
Judge Dredd,United Kingdom,0.5176208019256592
Julie Hastings,Canada,0.510155439376831
Julie James Bronson,United States of America,0.023109422996640205
Juliet Capulet,United Kingdom,0.4808264672756195
Julius Caesar,United Kingdom,0.4135756492614746
Juni Cortez,United States of America,0.002485087374225259
Kamal Khan,India,0.42728349566459656
Karan Malhotra,India,0.2950936257839203
Karan Oberoi,India,0.16126680374145508
Karan Singh,India,0.16511736810207367
Karsh WarBurton,United States of America,0.001574842375703156
Kasper Gutman,United States of America,0.018984779715538025
Kate Baker,United States of America,0.5968834757804871
Katherine Thorn,United Kingdom,0.6941445469856262
Kathryn Merteuil,United States of America,0.0022683150600641966
Kathy Lutz,United States of America,0.017303800210356712
Kay Adams,United States of America,0.06630352884531021
Kay Wilson,United States of America,0.0869395062327385
Kazuya Mishima,Japan,0.9666265845298767
Keith Jennings,United States of America,0.5433538556098938
Kelsi Nielsen,United States of America,0.013832573778927326
Ken Carson,,
Kentaro Moto,United States of America,0.0003764009161386639
Kevin McCallister,United States of America,0.10952889919281006
Kevin Myers,United States of America,0.1957271695137024
Kim Possible,United States of America,0.006510580889880657
King Arthur,United Kingdom,0.8239131569862366
King Harold,United States of America,0.00022781468578614295
King Kong,United States of America,0.00020576469250954688
King Leonidas,United States of America,7.522601663367823e-05
King Louis XI,United States of America,9.522592154098675e-05
King Louis XIV,United Kingdom,0.5895652174949646
King Triton,Canada,0.43266430497169495
Kiran Saxena,India,0.5397270321846008
Ko Chun,Hong Kong,0.12579345703125
Kristen Parker,United States of America,0.07473533600568771
Kristi Rey,United States of America,0.030411260202527046
Kumar Patel,United States of America,0.49053844809532166
Kyle Williams,United States of America,0.23696988821029663
Lamont Cranston,United States of America,0.02990504540503025
Lankester Merrin,United States of America,0.004121738951653242
Lara Croft,United Kingdom,0.4035831093788147
Larry Wilson,United States of America,0.11841923743486404
Laura Black,United States of America,0.09224743396043777
Laura Reynolds,United States of America,0.08572113513946533
Laurie Strode,United States of America,0.08086737990379333
Lawrence Gordon,United States of America,0.4959254264831543
Lawrence Stewart Talbot,United Kingdom,0.5941303968429565
Laxmi Devi,India,0.9513723254203796
Le Chiffre,United Kingdom,0.2339400053024292
Lee Chan,United States of America,0.0013874465366825461
Leia Organa,United States of America,0.0002652477123774588
Lena Kaligaris,United States of America,0.0031640639062970877
Leo Bloom,United States of America,0.01149972528219223
Leo Getz,United States of America,0.024091744795441628
Leon Trotsky,Mexico,0.2557743191719055
Lestat de Lioncourt,United States of America,0.5116273164749146
Lex Luthor,United Kingdom,0.5138288140296936
Li Shang,United States of America,0.0001177119993371889
Lightning McQueen,United States of America,0.002467835322022438
Lilo Pelekai,United States of America,0.00017390158609487116
Linus Caldwell,United States of America,0.03191603720188141
Linus Larrabee,United States of America,0.02853631228208542
Lisa Dolittle,Canada,0.534472644329071
Lisbeth Salander,Sweden,0.5396794676780701
Little John,United Kingdom,0.7617275714874268
Liu Kang,United States of America,0.0009395593078806996
Lloyd Christmas,United States of America,0.01949780434370041
Lois Lane,United States of America,0.568690836429596
Long John Silver,United States of America,0.01611688919365406
Lord Voldemort,United Kingdom,0.7560504078865051
Lorna Cole,United States of America,0.02278369478881359
Louis Tully,United States of America,0.024917304515838623
Lt. Frank Drebin,United States of America,0.1068144142627716
Lt. Sean Topper Harley,United States of America,0.1538342982530594
Lucius Fox,United Kingdom,0.6207376718521118
Lucy Pevensie,United Kingdom,0.7119709849357605
Lucy Stark,United States of America,0.6894770264625549
Lucy Westenra,United Kingdom,0.4042230546474457
Lucy van Pelt,United States of America,0.0053806365467607975
Ludo Dekker,Germany,0.019166888669133186
Ludwig van Beethoven,Germany,0.5465602278709412
Luke Skywalker,United States of America,0.0004521705850493163
Lyle van de Groot,United States of America,0.691042959690094
M. Bison,United States of America,0.3352980613708496
Mace Windu,United States of America,0.0004622764536179602
Mahendra Varma,India,0.6267165541648865
Maid Marian,United States of America,0.000578053412027657
Marcellus Washburn,United States of America,0.011994922533631325
Margaret White,Canada,0.5548737049102783
Marge Sherwood,United States of America,0.5548235177993774
Maria Elena,Spain,0.8472067713737488
Marian Paroo,United States of America,0.000686031358782202
Marie Antoinette,France,0.9589558243751526
Marion Ravenwood,United States of America,0.005833710078150034
Mark Darcy,United Kingdom,0.38278087973594666
Mark Gor,Hong Kong,0.5482769012451172
Mark Hoffman,United States of America,0.42032283544540405
Mark Hunter,United States of America,0.6729151010513306
Marnie Piper,United States of America,0.0102067980915308
Martin Beck,United States of America,0.7008351683616638
Martin Luther,Germany,0.5159198045730591
Martin Riggs,United States of America,0.019378837198019028
Marty McFly,United States of America,0.0006425344035960734
Marvin the Martian,United States of America,0.0001582668483024463
Mary Crawford,United States of America,0.5138698816299438
Mary Jane,United States of America,0.6414941549301147
Mary Jane Watson,United States of America,0.01645014062523842
Mary Lane,United States of America,0.7718427181243896
Mary Magdalene,United Kingdom,0.4887153208255768
Mary McKay,United States of America,0.01502219121903181
Mary Morstan,United Kingdom,0.5484346747398376
Master Shifu,United States of America,0.00032172290957532823
Master Wu,China,0.8784066438674927
Matt Hunter,United States of America,0.16890767216682434
Max Cady,United States of America,0.099952332675457
Max Goldman,United States of America,0.13832342624664307
Max Rockatansky,United States of America,0.5579135417938232
Megan Parker,United States of America,0.04386205971240997
Merlin Jones,United States of America,0.0005353691522032022
Meyer Lansky,United States of America,0.022871820256114006
Mia Thermopolis,United States of America,0.00046856491826474667
Mia Toretto,United States of America,0.6740197539329529
Michael Corleone,United States of America,0.00044226288446225226
Michael Corvin,United States of America,0.4171569347381592
Michael Gold,United States of America,0.5978403091430664
Michael Jackson,United States of America,0.4057754874229431
Michael Jennings,United States of America,0.1425158679485321
Michael Myers,United States of America,0.0035697189159691334
Michael Sobel,United States of America,0.7656198143959045
Michael Woods,United States of America,0.7721372246742249
Michelle Flaherty,United States of America,0.804235577583313
Mickey Goldmill,United States of America,0.006185981910675764
Mickey Mouse,United States of America,0.00033489306224510074
Mikael Blomkvist,Sweden,0.6175384521484375
Mikaela Banes,United States of America,0.015832895413041115
Mike Hammer,United States of America,0.5634565353393555
Mike Wazowski,United States of America,0.09723401814699173
Mildred Rogers,United States of America,0.5437895059585571
Miles Archer,United States of America,0.03828515112400055
Mina Harker,United Kingdom,0.3186641335487366
Ming the Merciless,United Kingdom,0.5419435501098633
Minnie Mouse,United States of America,0.00015417476242873818
Miranda Hobbes,United States of America,0.000232407110161148
Misa Amane,Japan,0.9244546890258789
Miss Bianca,United States of America,0.0018706052796915174
Miss Clavel,France,0.7073514461517334
Miss Finster,United States of America,0.001592008164152503
Miss Marple,United Kingdom,0.01287431176751852
Miss Prissy,United States of America,0.0004111064481548965
Mitch Robbins,United States of America,0.037661582231521606
Mitch Weaver,United States of America,0.5398899912834167
