Yearmon,CPI,year
1913-01-01,9.8,1913
1913-01-02,9.8,1913
1913-01-03,9.8,1913
1913-01-04,9.8,1913
1913-01-05,9.7,1913
1913-01-06,9.8,1913
1913-01-07,9.9,1913
1913-01-08,9.9,1913
1913-01-09,10.0,1913
1913-01-10,10.0,1913
1913-01-11,10.1,1913
1913-01-12,10.0,1913
1914-01-01,10.0,1914
1914-01-02,9.9,1914
1914-01-03,9.9,1914
1914-01-04,9.8,1914
1914-01-05,9.9,1914
1914-01-06,9.9,1914
1914-01-07,10.0,1914
1914-01-08,10.2,1914
1914-01-09,10.2,1914
1914-01-10,10.1,1914
1914-01-11,10.2,1914
1914-01-12,10.1,1914
1915-01-01,10.1,1915
1915-01-02,10.0,1915
1915-01-03,9.9,1915
1915-01-04,10.0,1915
1915-01-05,10.1,1915
1915-01-06,10.1,1915
1915-01-07,10.1,1915
1915-01-08,10.1,1915
1915-01-09,10.1,1915
1915-01-10,10.2,1915
1915-01-11,10.3,1915
1915-01-12,10.3,1915
1916-01-01,10.4,1916
1916-01-02,10.4,1916
1916-01-03,10.5,1916
1916-01-04,10.6,1916
1916-01-05,10.7,1916
1916-01-06,10.8,1916
1916-01-07,10.8,1916
1916-01-08,10.9,1916
1916-01-09,11.1,1916
1916-01-10,11.3,1916
1916-01-11,11.5,1916
1916-01-12,11.6,1916
1917-01-01,11.7,1917
1917-01-02,12.0,1917
1917-01-03,12.0,1917
1917-01-04,12.6,1917
1917-01-05,12.8,1917
1917-01-06,13.0,1917
1917-01-07,12.8,1917
1917-01-08,13.0,1917
1917-01-09,13.3,1917
1917-01-10,13.5,1917
1917-01-11,13.5,1917
1917-01-12,13.7,1917
1918-01-01,14.0,1918
1918-01-02,14.1,1918
1918-01-03,14.0,1918
1918-01-04,14.2,1918
1918-01-05,14.5,1918
1918-01-06,14.7,1918
1918-01-07,15.1,1918
1918-01-08,15.4,1918
1918-01-09,15.7,1918
1918-01-10,16.0,1918
1918-01-11,16.3,1918
1918-01-12,16.5,1918
1919-01-01,16.5,1919
1919-01-02,16.2,1919
1919-01-03,16.4,1919
1919-01-04,16.7,1919
1919-01-05,16.9,1919
1919-01-06,16.9,1919
1919-01-07,17.4,1919
1919-01-08,17.7,1919
1919-01-09,17.8,1919
1919-01-10,18.1,1919
1919-01-11,18.5,1919
1919-01-12,18.9,1919
1920-01-01,19.3,1920
1920-01-02,19.5,1920
1920-01-03,19.7,1920
1920-01-04,20.3,1920
1920-01-05,20.6,1920
1920-01-06,20.9,1920
1920-01-07,20.8,1920
1920-01-08,20.3,1920
1920-01-09,20.0,1920
1920-01-10,19.9,1920
1920-01-11,19.8,1920
1920-01-12,19.4,1920
1921-01-01,19.0,1921
1921-01-02,18.4,1921
1921-01-03,18.3,1921
1921-01-04,18.1,1921
1921-01-05,17.7,1921
1921-01-06,17.6,1921
1921-01-07,17.7,1921
1921-01-08,17.7,1921
1921-01-09,17.5,1921
1921-01-10,17.5,1921
1921-01-11,17.4,1921
1921-01-12,17.3,1921
1922-01-01,16.9,1922
1922-01-02,16.9,1922
1922-01-03,16.7,1922
1922-01-04,16.7,1922
1922-01-05,16.7,1922
1922-01-06,16.7,1922
1922-01-07,16.8,1922
1922-01-08,16.6,1922
1922-01-09,16.6,1922
1922-01-10,16.7,1922
1922-01-11,16.8,1922
1922-01-12,16.9,1922
1923-01-01,16.8,1923
1923-01-02,16.8,1923
1923-01-03,16.8,1923
1923-01-04,16.9,1923
1923-01-05,16.9,1923
1923-01-06,17.0,1923
1923-01-07,17.2,1923
1923-01-08,17.1,1923
1923-01-09,17.2,1923
1923-01-10,17.3,1923
1923-01-11,17.3,1923
1923-01-12,17.3,1923
1924-01-01,17.3,1924
1924-01-02,17.2,1924
